1 Fitness= 45840 Best= 43050
10001 Fitness= 47710 Best= 30660
20001 Fitness= 48760 Best= 30660
30001 Fitness= 49840 Best= 30660
40001 Fitness= 49660 Best= 30660
50001 Fitness= 52760 Best= 30120
60001 Fitness= 47980 Best= 30120
70001 Fitness= 45680 Best= 30120
80001 Fitness= 44130 Best= 30120
90001 Fitness= 50670 Best= 30120
100000 Fitness= 47010 Best= 30120


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10025	2	1
9688	2	1
9689	3	1
9306	2	1
9789	2	1
9968	5	1
9245	4	2
9976	5	1
10328	2	1
9982	4	2
9989	3	1
10249	2	1
9993	2	1
9996	2	1
10607	2	1
41	3	10022	1	2
42	4	9993	1	1
43	1	10807	1	1
44	2	9827	7	1
45	5	9265	6	4
46	4	10527	3	1
47	5	8885	4	1
48	3	9991	2	1
49	2	9208	1	1
50	4	9624	5	2
51	3	10687	1	2
52	3	10271	1	4
53	3	10547	2	1
54	2	9245	6	2
55	4	9265	6	4
56	5	8646	1	1
57	4	9007	2	3
58	3	10527	3	1
59	1	10249	2	1
60	5	9209	1	1
61	2	9249	1	1
62	5	9506	1	1
63	1	10347	7	7
64	1	10347	7	7
65	2	9667	3	2
66	4	9389	1	1
67	3	9265	6	4
68	3	9265	6	4
69	1	9827	7	1
70	4	9245	6	2
71	5	10527	3	1
72	3	9426	3	5
73	3	9624	5	2
74	1	10347	7	7
75	5	10012	1	1
76	2	9947	2	1
77	4	9999	4	4
78	4	10472	4	4
79	5	10001	2	3
80	5	9983	1	1
81	3	9245	6	2
82	2	9246	4	2
83	3	10030	1	2
84	5	9912	4	1
85	3	10127	2	4
86	1	9245	6	2
87	4	10331	1	1
88	1	10347	7	7
89	3	10547	2	1
90	4	9205	2	1
91	2	9968	2	1
92	5	9405	1	1
93	4	10249	2	1
94	1	10367	1	1
95	2	10039	1	2
96	5	10050	2	2
97	3	9827	7	1
98	4	10472	4	4
99	2	9347	1	3
100	4	10472	4	4
101	2	9545	3	1
102	2	9565	1	1
103	1	10508	1	2
104	5	9787	2	2
105	1	10347	7	7
106	1	10013	2	1
107	1	9627	1	1
108	1	10747	1	1
109	5	9505	1	1
110	1	10007	1	1
111	1	10170	1	1
112	2	9446	1	1
113	2	10127	2	4
114	3	10002	1	1
115	1	9912	4	1
116	5	9265	6	4
117	4	9647	1	1
118	5	10025	1	1
119	1	9246	4	2
120	1	9545	3	1
121	4	10013	2	1
122	2	9206	2	1
123	1	9246	4	2
124	2	9947	2	1
125	1	8885	4	1
126	2	8885	4	1
127	2	10187	5	1
128	3	9827	7	1
129	1	9912	4	1
130	4	10050	2	2
131	1	10045	1	2
132	3	9206	2	1
133	5	10187	5	1
134	2	10187	5	1
135	2	9982	2	2
136	2	9827	7	1
137	2	9999	4	4
138	3	10729	1	1
139	3	9827	7	1
140	1	9999	4	4
141	3	9972	1	1
142	4	9976	1	1
143	2	8885	4	1
144	4	9485	1	2
145	2	9975	1	1
146	3	9245	6	2
147	3	10471	2	1
148	5	9265	6	4
149	2	9689	2	1
150	1	10347	7	7
151	1	9465	1	1
152	5	9624	5	2
153	5	10507	1	1
154	1	10787	1	1
155	2	9545	3	1
156	5	9787	2	2
157	3	10187	5	1
Summary details:
#violations= 43
fitness= 45900
37 students got their choice 1 project
35 students got their choice 2 project
31 students got their choice 3 project
23 students got their choice 4 project
31 students got their choice 5 project
1 Fitness= 47380 Best= 47980
10001 Fitness= 53870 Best= 33660
20001 Fitness= 47640 Best= 32100
30001 Fitness= 49970 Best= 30860
40001 Fitness= 44030 Best= 30830
50001 Fitness= 48980 Best= 30830
60001 Fitness= 51710 Best= 30720
70001 Fitness= 37800 Best= 30720
80001 Fitness= 45140 Best= 30720
90001 Fitness= 42930 Best= 30720
100000 Fitness= 53790 Best= 30720


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10013	2	1
10017	2	1
9205	4	1
9206	4	1
9688	3	1
9689	4	1
8985	2	1
9787	3	2
9968	3	1
9245	7	2
9246	5	2
9249	2	1
9887	4	3
9976	4	1
9992	4	1
10527	2	1
10187	3	1
9827	6	1
9912	4	1
9105	5	1
10567	4	1
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	3	9265	3	4
2	2	9426	4	5
3	1	10767	1	1
4	4	9807	1	1
5	3	10015	1	1
6	2	10013	2	1
7	5	9205	4	1
8	5	9105	5	1
